G2	G3	G4	G5	G6	G7	G8	G9	G10
0.5824977	0.4324854	0.16911879999999999	0.5052431	0.8473132999999999	0.1040885	0.1992609	0.8985834	0.6556706999999999
0.6502029	0.5221531	0.127001	0.1457271	0.20751770000000003	0.058323599999999996	0.3600087	0.4463103	0.6302627
0.23676039999999998	0.47933279999999995	0.1648654	0.3671302	0.6706281	0.24714029999999998	0.09206189999999999	0.6739688	0.4646259
0.4621152	0.1839444	0.3491116	0.6209798000000001	0.5822496	0.23498579999999997	0.0885267	0.5239991	0.7560054
0.567928	0.46649809999999997	0.2077127	0.25507270000000004	0.8024667	0.1189673	0.0885154	0.1961358	0.61641
0.5061845	0.4236848	0.17669110000000002	0.4576857	0.6236204000000001	0.40321440000000003	0.0869847	0.3022433	0.5556021
0.580499	0.4759692	0.06219169999999999	0.1566037	0.3818986	0.3217045	0.14860589999999999	0.3169272	0.6592554
0.44521689999999997	0.263345	0.3098009	0.6584698	0.6082744999999999	0.43461940000000004	0.046139	0.7206809000000001	0.580723
0.6541318	0.4273156	0.1504376	0.014666899999999998	0.0015171	0.010487999999999999	0.7477423000000001	0.25489570000000006	0.7280761
0.5903271	0.4868146	0.0213399	0.47296109999999997	0.7140243000000001	0.1174816	0.0889995	0.8080174	0.6552066
