G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.08354	0.5827425	0.3246533	0.185666	0.5673235	0.6038536999999999	0.5533106	0.5072525	0.7754879	0.6974851
0.39888909999999994	0.23269120000000001	0.2610969	0.28947870000000003	0.5452676	0.5195082000000001	0.3289654	0.2420306	0.29602890000000004	0.6494291
0.12425430000000001	0.3775489	0.5757647	0.13657320000000003	0.3762989	0.6380956999999999	0.6547235	0.6136543999999999	0.8041881	0.6798382
0.167892	0.30566479999999996	0.5975258000000001	0.2227362	0.5711344	0.6018989	0.5624748	0.6221895000000001	0.8842039	0.6243579
0.7765035	0.0320467	0.6017423000000001	0.1786495	0.6321441	0.7362578000000001	0.33584440000000004	0.7367653000000001	0.6408556	0.5104542000000001
0.4064345	0.0690305	0.3918848	0.22361350000000002	0.5845758000000001	0.54891	0.3611978	0.5979808000000001	0.4205554	0.6997106
0.048007999999999995	0.6261133000000001	0.46411309999999995	0.0274592	0.8501755	0.6930394	0.03203	0.5118197	0.5395253000000001	0.5872010999999999
0.1809406	0.40798190000000006	0.6597544	0.12080719999999999	0.6914344	0.6757973	0.4932811	0.6955515	0.3800294	0.47670329999999994
0.356275	0.0810439	0.694463	0.1815899	0.528542	0.5920828	0.4772924	0.8672294	0.6500483	0.7145630999999999
0.5389944999999999	0.0385212	0.6990263000000001	0.12405050000000001	0.6375901999999999	0.7380399999999999	0.3766305	0.5668678	0.6021925	0.43221590000000004
